[2016/3/25 - 19:26:48] Jame_Nicolas (ID: 3 | SQL ID: 3912 | Level: 1 | IP: 14.176.100.32) has disconnected.
[2016/3/25 - 19:36:02] Bin_LaTao (ID: 0 | SQL ID: 8 | Level: 1 | IP: 1.52.141.250) has logged in.
[2016/3/25 - 19:37:47] Nguyen_ThanhDat (ID: 1 | SQL ID: 0 | Level: 1 | IP: 116.105.192.7) has logged in.
[2016/3/25 - 19:41:12] Battle_Binz (ID: 2 | SQL ID: 6 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:41:17] Battle_Minh (ID: 3 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:41:43] Battle_Luan (ID: 4 | SQL ID: 7 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:42:28] Battle_Binz (ID: 2 | SQL ID: 6 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/25 - 19:42:30] Battle_Luan (ID: 4 | SQL ID: 7 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/25 - 19:42:31] Bin_LaTao (ID: 0 | SQL ID: 8 | Level: 1 | IP: 1.52.141.250) has disconnected.
[2016/3/25 - 19:42:31] Jons_Giang (ID: 5 | SQL ID: 3919 | Level: 1 | IP: 115.79.62.154) has logged in.
[2016/3/25 - 19:42:33] Nguyen_ThanhDat (ID: 1 | SQL ID: 0 | Level: 1 | IP: 116.105.192.7) has disconnected.
[2016/3/25 - 19:42:34] Battle_Minh (ID: 3 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/25 - 19:46:11] Bin_LaTao (ID: 0 | SQL ID: 8 | Level: 1 | IP: 1.52.141.250) has logged in.
[2016/3/25 - 19:46:48] Battle_Binz (ID: 1 | SQL ID: 6 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:47:08] Battle_Luan (ID: 2 | SQL ID: 7 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:47:16] Battle_Minh (ID: 3 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:47:24] CAc_Loz (ID: 4 | SQL ID: 3920 | Level: 1 | IP: 14.176.219.123) has logged in.
[2016/3/25 - 19:47:43] CAc_Loz (ID: 4 | SQL ID: 3920 | Level: 1 | IP: 14.176.219.123) has disconnected.
[2016/3/25 - 19:48:50] Kiet_tuns (ID: 4 | SQL ID: 3921 | Level: 1 | IP: 115.78.119.216) has logged in.
[2016/3/25 - 19:51:29] Kiet_tuns (ID: 4 | SQL ID: 3921 | Level: 1 | IP: 115.78.119.216) has disconnected.
[2016/3/25 - 19:51:32] Yuuki_Asuna (ID: 5 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has logged in.
[2016/3/25 - 19:51:53] Yuuki_Asuna (ID: 5 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has disconnected.
[2016/3/25 - 19:52:25] Yuuki_Asuna (ID: 5 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has logged in.
[2016/3/25 - 19:53:42] Yuuki_Asuna (ID: 5 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has disconnected.
[2016/3/25 - 19:54:02] Louis_An (ID: 4 | SQL ID: 3922 | Level: 1 | IP: 115.78.119.216) has logged in.
[2016/3/25 - 19:55:20] Dimitri_vegas (ID: 5 | SQL ID: 3923 | Level: 1 | IP: 115.78.115.222) has logged in.
[2016/3/25 - 19:57:12] Ti_Nhox (ID: 6 | SQL ID: 3924 | Level: 1 | IP: 14.187.247.43) has logged in.
[2016/3/25 - 19:57:14] nobita_kley (ID: 7 | SQL ID: 3925 | Level: 1 | IP: 115.78.117.247) has logged in.
[2016/3/25 - 19:57:39] Ti_Nhox (ID: 6 | SQL ID: 3924 | Level: 1 | IP: 14.187.247.43) has disconnected.
[2016/3/25 - 19:57:42] nobita_kley (ID: 7 | SQL ID: 3925 | Level: 1 | IP: 115.78.117.247) has disconnected.
[2016/3/25 - 19:58:52] Yuuki_Asuna (ID: 6 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has logged in.
[2016/3/25 - 20:00:13] Nam_LaTao (ID: 7 | SQL ID: 3926 | Level: 1 | IP: 115.78.226.194) has logged in.
[2016/3/25 - 20:00:35] Danh_Latao (ID: 8 | SQL ID: 3927 | Level: 1 | IP: 115.78.226.194) has logged in.
[2016/3/25 - 20:10:54] Faker_Wilson (ID: 9 | SQL ID: 3928 | Level: 1 | IP: 14.169.194.181) has logged in.
[2016/3/25 - 20:11:17] Rock_Lee (ID: 10 | SQL ID: 3929 | Level: 1 | IP: 115.79.33.192) has logged in.
[2016/3/25 - 20:13:23] Danh_Latao (ID: 8 | SQL ID: 3927 | Level: 1 | IP: 115.78.226.194) has disconnected.
[2016/3/25 - 20:13:26] Nam_LaTao (ID: 7 | SQL ID: 3926 | Level: 1 | IP: 115.78.226.194) has disconnected.
[2016/3/25 - 20:14:36] Rock_Lee (ID: 10 | SQL ID: 3929 | Level: 1 | IP: 115.79.33.192) has disconnected.
